game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous,previous_offer
5,2,1,0.9,"[0, 1, 2, 2, 2]",[18 45 43 74 15],[0 4 4 4 5],[0 3 2 2 3],68,False,False,False,False,False,
5,2,2,0.9,"[0, 2, 2, 1, 3]",[70 45 29 58  5],[0 4 4 4 5],[0 2 2 3 2],645,False,True,False,False,False,
5,3,1,0.81,,[18 45 43 74 15],[0 4 4 4 5],,68,False,,False,,,"[0, 2, 2, 1, 3]"
6,1,1,1.0,"[1, 1, 1, 0, 1]",[11 20  4 83  7],[3 3 2 3 3],[2 2 1 3 2],801,False,False,False,False,False,
6,1,2,1.0,"[2, 3, 0, 0, 3]",[79 19 67 95 12],[3 3 2 3 3],[1 0 2 3 0],391,False,False,False,False,False,
6,2,1,0.9,"[1, 2, 1, 2, 2]",[11 20  4 83  7],[3 3 2 3 3],[2 1 1 1 1],801,False,False,False,False,False,
6,2,2,0.9,"[3, 0, 0, 0, 3]",[79 19 67 95 12],[3 3 2 3 3],[0 3 2 3 0],391,False,False,False,False,True,
6,3,1,0.81,,[11 20  4 83  7],[3 3 2 3 3],,801,False,,False,,,"[3, 0, 0, 0, 3]"
7,1,1,1.0,"[5, 2, 2, 1, 2]",[27 82 94 92 54],[11  4  5  3  5],[6 2 3 2 3],116,False,False,False,False,False,
7,1,2,1.0,"[3, 1, 3, 1, 3]",[ 6 55 12 39 33],[11  4  5  3  5],[8 3 2 2 2],741,False,True,False,False,False,
7,2,1,0.9,"[6, 2, 2, 1, 2]",[27 82 94 92 54],[11  4  5  3  5],[5 2 3 2 3],116,False,False,False,False,False,
7,2,2,0.9,"[4, 2, 2, 2, 3]",[ 6 55 12 39 33],[11  4  5  3  5],[7 2 3 1 2],741,False,True,False,False,True,
7,3,1,0.81,,[27 82 94 92 54],[11  4  5  3  5],,116,False,,True,,,"[4, 2, 2, 2, 3]"
8,1,1,1.0,"[4, 0, 1, 2, 2]",[17 13 79 65 80],[8 1 5 5 4],[4 1 4 3 2],364,False,False,False,False,False,
8,1,2,1.0,"[2, 0, 2, 2, 1]",[28 92 72 67 37],[8 1 5 5 4],[6 1 3 3 3],178,False,False,False,False,False,
8,2,1,0.9,"[3, 0, 1, 2, 1]",[17 13 79 65 80],[8 1 5 5 4],[5 1 4 3 3],364,False,False,False,False,False,
8,2,2,0.9,"[4, 0, 3, 3, 3]",[28 92 72 67 37],[8 1 5 5 4],[4 1 2 2 1],178,False,False,False,False,True,
8,3,1,0.81,,[17 13 79 65 80],[8 1 5 5 4],,364,False,,True,,,"[4, 0, 3, 3, 3]"
9,1,1,1.0,"[2, 3, 2, 4, 4]",[60 38  8 60 87],[4 5 4 7 8],[2 2 2 3 4],886,False,False,False,False,False,
9,1,2,1.0,"[2, 2, 2, 3, 4]",[15 79 11  7 30],[4 5 4 7 8],[2 3 2 4 4],452,False,True,False,False,False,
9,2,1,0.9,"[2, 3, 3, 4, 5]",[60 38  8 60 87],[4 5 4 7 8],[2 2 1 3 3],886,False,False,False,False,False,
9,2,2,0.9,"[2, 2, 2, 3, 4]",[15 79 11  7 30],[4 5 4 7 8],[2 3 2 4 4],452,False,True,False,False,False,
9,3,1,0.81,,[60 38  8 60 87],[4 5 4 7 8],,886,True,,False,,,"[2, 2, 2, 3, 4]"
10,1,1,1.0,"[3, 1, 3, 0, 2]",[21 69 62 82 75],[6 3 6 1 4],[3 2 3 1 2],272,False,False,False,False,False,
10,1,2,1.0,"[2, 1, 3, 0, 1]",[ 2 27 20 34 75],[6 3 6 1 4],[4 2 3 1 3],327,False,False,False,False,False,
10,2,1,0.9,"[3, 1, 3, 0, 2]",[21 69 62 82 75],[6 3 6 1 4],[3 2 3 1 2],272,False,False,False,False,True,
10,2,2,0.9,"[3, 1, 4, 0, 1]",[ 2 27 20 34 75],[6 3 6 1 4],[3 2 2 1 3],327,False,False,False,False,False,
10,3,1,0.81,,[21 69 62 82 75],[6 3 6 1 4],,272,False,,True,,,"[3, 1, 4, 0, 1]"
11,1,1,1.0,"[0, 1, 1, 4, 0]",[94 50 52 98 88],[1 3 3 9 1],[1 2 2 5 1],347,False,False,False,False,False,
11,1,2,1.0,"[0, 2, 3, 6, 0]",[71 83 13 47 41],[1 3 3 9 1],[1 1 0 3 1],472,False,False,False,False,False,
11,2,1,0.9,"[0, 2, 2, 5, 0]",[94 50 52 98 88],[1 3 3 9 1],[1 1 1 4 1],347,False,False,False,False,False,
11,2,2,0.9,"[1, 1, 3, 4, 0]",[71 83 13 47 41],[1 3 3 9 1],[0 2 0 5 1],472,False,False,False,False,False,
11,4,2,0.7290000000000001,,[71 83 13 47 41],[1 3 3 9 1],,472,True,,False,,,"[0, 2, 2, 5, 0]"
12,1,1,1.0,"[1, 3, 4, 2, 2]",[79 39  5 87 66],[2 6 5 4 4],[1 3 1 2 2],638,False,False,False,False,False,
12,1,2,1.0,"[1, 2, 2, 2, 2]",[84 83 62 28 35],[2 6 5 4 4],[1 4 3 2 2],619,False,False,False,False,False,
12,2,1,0.9,"[1, 3, 3, 1, 2]",[79 39  5 87 66],[2 6 5 4 4],[1 3 2 3 2],638,False,False,False,False,False,
12,2,2,0.9,"[1, 3, 2, 2, 2]",[84 83 62 28 35],[2 6 5 4 4],[1 3 3 2 2],619,False,False,False,False,False,
12,3,1,0.81,,[79 39  5 87 66],[2 6 5 4 4],,638,False,,False,,,"[1, 3, 2, 2, 2]"
13,1,1,1.0,"[2, 0, 2, 0, 1]",[40 93 19 72 48],[4 2 2 2 2],[2 2 0 2 1],605,False,False,False,False,False,
13,1,2,1.0,"[1, 1, 0, 2, 1]",[70 30  4 73 62],[4 2 2 2 2],[3 1 2 0 1],294,False,False,False,False,False,
13,2,1,0.9,"[2, 0, 1, 1, 1]",[40 93 19 72 48],[4 2 2 2 2],[2 2 1 1 1],605,False,False,False,False,False,
13,2,2,0.9,"[1, 2, 0, 1, 1]",[70 30  4 73 62],[4 2 2 2 2],[3 0 2 1 1],294,False,False,False,False,True,
13,3,1,0.81,,[40 93 19 72 48],[4 2 2 2 2],,605,True,,False,,,"[1, 2, 0, 1, 1]"
14,1,1,1.0,"[1, 5, 4, 1, 1]",[96  5 12 83 73],[3 5 4 3 3],[2 0 0 2 2],618,False,True,False,False,False,
14,1,2,1.0,"[2, 4, 0, 3, 2]",[49 13 71  4  9],[3 5 4 3 3],[1 1 4 0 1],767,False,True,False,False,False,
14,2,1,0.9,"[2, 5, 2, 1, 1]",[96  5 12 83 73],[3 5 4 3 3],[1 0 2 2 2],618,False,True,False,False,False,
14,2,2,0.9,"[1, 5, 1, 1, 2]",[49 13 71  4  9],[3 5 4 3 3],[2 0 3 2 1],767,False,True,False,False,False,
14,3,1,0.81,,[96  5 12 83 73],[3 5 4 3 3],,618,False,,False,,,"[1, 5, 1, 1, 2]"
15,1,1,1.0,"[3, 2, 3, 1, 1]",[49 27 28 89 38],[6 4 6 3 3],[3 2 3 2 2],180,False,False,False,False,False,
15,1,2,1.0,"[3, 2, 0, 1, 1]",[26  5 85 77 83],[6 4 6 3 3],[3 2 6 2 2],689,False,False,False,False,False,
15,2,1,0.9,"[3, 1, 3, 1, 1]",[49 27 28 89 38],[6 4 6 3 3],[3 3 3 2 2],180,False,False,False,False,False,
15,2,2,0.9,"[3, 1, 0, 1, 1]",[26  5 85 77 83],[6 4 6 3 3],[3 3 6 2 2],689,False,False,False,False,False,
15,3,1,0.81,,[49 27 28 89 38],[6 4 6 3 3],,180,False,,False,,,"[3, 1, 0, 1, 1]"
16,1,1,1.0,"[1, 2, 3, 2, 3]",[68 81 31 91 37],[2 4 5 5 5],[1 2 2 3 2],334,False,False,False,False,False,
16,1,2,1.0,"[0, 2, 1, 4, 2]",[57 58 67 37 44],[2 4 5 5 5],[2 2 4 1 3],143,False,False,False,False,False,
16,2,1,0.9,"[1, 2, 4, 1, 2]",[68 81 31 91 37],[2 4 5 5 5],[1 2 1 4 3],334,False,False,False,False,False,
16,2,2,0.9,"[1, 2, 2, 3, 1]",[57 58 67 37 44],[2 4 5 5 5],[1 2 3 2 4],143,False,False,False,False,False,
16,3,1,0.81,,[68 81 31 91 37],[2 4 5 5 5],,334,False,,False,,,"[1, 2, 2, 3, 1]"
17,1,1,1.0,"[0, 3, 0, 2, 2]",[84 12 69 63 91],[3 3 1 4 4],[3 0 1 2 2],598,False,False,False,False,False,
17,1,2,1.0,"[2, 0, 1, 1, 1]",[96 57 79 69 88],[3 3 1 4 4],[1 3 0 3 3],65,False,False,False,False,False,
17,2,1,0.9,"[1, 1, 0, 2, 2]",[84 12 69 63 91],[3 3 1 4 4],[2 2 1 2 2],598,False,False,False,False,False,
17,2,2,0.9,"[2, 0, 1, 1, 1]",[96 57 79 69 88],[3 3 1 4 4],[1 3 0 3 3],65,False,False,False,False,True,
17,3,1,0.81,,[84 12 69 63 91],[3 3 1 4 4],,598,True,,False,,,"[2, 0, 1, 1, 1]"
18,1,1,1.0,"[2, 4, 2, 2, 1]",[84 10 21 50 67],[4 4 3 4 3],[2 0 1 2 2],386,False,False,False,False,False,
18,1,2,1.0,"[2, 2, 1, 1, 1]",[19 55  8 94 26],[4 4 3 4 3],[2 2 2 3 2],597,False,True,False,False,False,
18,2,1,0.9,"[2, 3, 2, 2, 1]",[84 10 21 50 67],[4 4 3 4 3],[2 1 1 2 2],386,False,False,False,False,False,
18,2,2,0.9,"[2, 1, 1, 2, 2]",[19 55  8 94 26],[4 4 3 4 3],[2 3 2 2 1],597,False,True,False,False,False,
18,3,1,0.81,,[84 10 21 50 67],[4 4 3 4 3],,386,False,,False,,,"[2, 1, 1, 2, 2]"
19,1,1,1.0,"[2, 2, 1, 3, 3]",[27 13 68 14 95],[4 4 2 6 6],[2 2 1 3 3],788,False,False,False,False,False,
19,1,2,1.0,"[1, 1, 1, 5, 5]",[97 95 65  8 81],[4 4 2 6 6],[3 3 1 1 1],541,False,False,False,False,False,
19,2,1,0.9,"[2, 2, 1, 3, 3]",[27 13 68 14 95],[4 4 2 6 6],[2 2 1 3 3],788,False,False,False,False,False,
19,2,2,0.9,"[2, 2, 1, 4, 2]",[97 95 65  8 81],[4 4 2 6 6],[2 2 1 2 4],541,False,False,False,False,True,
19,3,1,0.81,,[27 13 68 14 95],[4 4 2 6 6],,788,False,,False,,,"[2, 2, 1, 4, 2]"
20,1,1,1.0,"[3, 2, 0, 2, 2]",[26 21 66 69 70],[7 4 1 5 5],[4 2 1 3 3],227,False,False,False,False,False,
20,1,2,1.0,"[4, 2, 1, 3, 1]",[87 86 77 40 91],[7 4 1 5 5],[3 2 0 2 4],966,False,True,False,False,False,
20,2,1,0.9,"[3, 2, 0, 3, 2]",[26 21 66 69 70],[7 4 1 5 5],[4 2 1 2 3],227,False,False,False,False,False,
20,2,2,0.9,"[4, 2, 1, 2, 1]",[87 86 77 40 91],[7 4 1 5 5],[3 2 0 3 4],966,False,True,False,False,True,
20,3,1,0.81,,[26 21 66 69 70],[7 4 1 5 5],,227,False,,False,,,"[4, 2, 1, 2, 1]"
21,1,1,1.0,"[2, 1, 1, 3, 2]",[43 78 95 76 57],[5 4 4 8 5],[3 3 3 5 3],247,False,False,False,False,False,
21,1,2,1.0,"[3, 0, 3, 5, 3]",[ 78 100  56  27  21],[5 4 4 8 5],[2 4 1 3 2],687,False,False,False,False,False,
21,2,1,0.9,"[2, 2, 2, 4, 2]",[43 78 95 76 57],[5 4 4 8 5],[3 2 2 4 3],247,False,False,False,False,False,
21,2,2,0.9,"[3, 0, 3, 6, 3]",[ 78 100  56  27  21],[5 4 4 8 5],[2 4 1 2 2],687,False,False,False,False,True,
21,3,1,0.81,,[43 78 95 76 57],[5 4 4 8 5],,247,False,,True,,,"[3, 0, 3, 6, 3]"
22,1,1,1.0,"[3, 1, 1, 2, 1]",[14 54 13 79 84],[6 2 2 5 3],[3 1 1 3 2],621,False,True,False,False,False,
22,1,2,1.0,"[2, 1, 1, 3, 2]",[23 62 43 16 11],[6 2 2 5 3],[4 1 1 2 1],206,False,False,False,False,False,
22,2,1,0.9,"[3, 0, 1, 2, 1]",[14 54 13 79 84],[6 2 2 5 3],[3 2 1 3 2],621,False,True,False,False,False,
22,2,2,0.9,"[2, 1, 1, 3, 2]",[23 62 43 16 11],[6 2 2 5 3],[4 1 1 2 1],206,False,False,False,False,False,
22,4,2,0.7290000000000001,,[23 62 43 16 11],[6 2 2 5 3],,206,False,,False,,,"[2, 0, 1, 3, 1]"
23,1,1,1.0,"[1, 1, 3, 0, 2]",[91 93 31 72 16],[3 3 6 1 4],[2 2 3 1 2],63,False,False,False,False,False,
23,1,2,1.0,"[1, 0, 3, 0, 2]",[14 57 85 99 71],[3 3 6 1 4],[2 3 3 1 2],57,False,False,False,False,False,
23,2,1,0.9,"[1, 1, 4, 0, 2]",[91 93 31 72 16],[3 3 6 1 4],[2 2 2 1 2],63,False,False,False,False,False,
23,2,2,0.9,"[2, 1, 3, 0, 2]",[14 57 85 99 71],[3 3 6 1 4],[1 2 3 1 2],57,False,False,False,False,True,
23,3,1,0.81,,[91 93 31 72 16],[3 3 6 1 4],,63,False,,False,,,"[2, 1, 3, 0, 2]"
24,1,1,1.0,"[2, 3, 1, 1, 1]",[44 24 71 40 61],[4 4 3 3 2],[2 1 2 2 1],488,False,False,False,False,False,
24,1,2,1.0,"[1, 2, 2, 2, 1]",[84 57 33 19 40],[4 4 3 3 2],[3 2 1 1 1],686,False,True,False,False,False,
24,2,1,0.9,"[2, 2, 1, 1, 1]",[44 24 71 40 61],[4 4 3 3 2],[2 2 2 2 1],488,False,False,False,False,False,
24,2,2,0.9,"[2, 1, 2, 2, 1]",[84 57 33 19 40],[4 4 3 3 2],[2 3 1 1 1],686,False,True,False,False,False,
24,3,1,0.81,,[44 24 71 40 61],[4 4 3 3 2],,488,False,,False,,,"[2, 1, 2, 2, 1]"
25,1,1,1.0,"[1, 2, 4, 1, 3]",[43 63 61 57 61],[3 4 9 2 6],[2 2 5 1 3],85,False,False,False,False,False,
25,1,2,1.0,"[2, 1, 5, 1, 3]",[56 74 83 98 51],[3 4 9 2 6],[1 3 4 1 3],677,False,False,False,False,False,
25,2,1,0.9,"[2, 0, 5, 0, 2]",[43 63 61 57 61],[3 4 9 2 6],[1 4 4 2 4],85,False,False,False,False,False,
25,2,2,0.9,"[1, 2, 4, 1, 3]",[56 74 83 98 51],[3 4 9 2 6],[2 2 5 1 3],677,False,False,False,False,True,
25,3,1,0.81,,[43 63 61 57 61],[3 4 9 2 6],,85,False,,True,,,"[1, 2, 4, 1, 3]"
26,1,1,1.0,"[2, 1, 2, 2, 3]",[74 60 38 33 76],[5 3 3 4 6],[3 2 1 2 3],952,False,False,False,False,False,
26,1,2,1.0,"[3, 2, 1, 2, 3]",[67 13 75 98 52],[5 3 3 4 6],[2 1 2 2 3],313,False,False,False,False,False,
26,2,1,0.9,"[2, 1, 2, 2, 3]",[74 60 38 33 76],[5 3 3 4 6],[3 2 1 2 3],952,False,False,False,False,False,
26,2,2,0.9,"[2, 2, 1, 2, 3]",[67 13 75 98 52],[5 3 3 4 6],[3 1 2 2 3],313,False,False,False,False,True,
26,3,1,0.81,,[74 60 38 33 76],[5 3 3 4 6],,952,True,,False,,,"[2, 2, 1, 2, 3]"
27,1,1,1.0,"[1, 2, 3, 1, 1]",[79 52 18 65 49],[3 5 6 3 3],[2 3 3 2 2],312,False,False,False,False,False,
27,1,2,1.0,"[2, 3, 3, 2, 1]",[62  9 19 15 45],[3 5 6 3 3],[1 2 3 1 2],65,False,False,False,False,False,
27,2,1,0.9,"[2, 2, 4, 1, 2]",[79 52 18 65 49],[3 5 6 3 3],[1 3 2 2 1],312,False,False,False,False,False,
27,2,2,0.9,"[1, 3, 3, 2, 1]",[62  9 19 15 45],[3 5 6 3 3],[2 2 3 1 2],65,False,False,False,False,True,
27,3,1,0.81,,[79 52 18 65 49],[3 5 6 3 3],,312,False,,False,,,"[1, 3, 3, 2, 1]"
28,1,1,1.0,"[3, 1, 1, 3, 2]",[21 76 95 12 55],[7 2 3 5 4],[4 1 2 2 2],238,False,False,False,False,False,
28,1,2,1.0,"[4, 1, 3, 2, 2]",[76 30  4 69 53],[7 2 3 5 4],[3 1 0 3 2],690,False,True,False,False,False,
28,2,1,0.9,"[3, 0, 2, 3, 2]",[21 76 95 12 55],[7 2 3 5 4],[4 2 1 2 2],238,False,False,False,False,False,
28,2,2,0.9,"[4, 1, 2, 2, 2]",[76 30  4 69 53],[7 2 3 5 4],[3 1 1 3 2],690,False,True,False,False,True,
28,3,1,0.81,,[21 76 95 12 55],[7 2 3 5 4],,238,False,,False,,,"[4, 1, 2, 2, 2]"
29,1,1,1.0,"[1, 3, 0, 1, 3]",[81 77 83 47 16],[3 6 1 2 7],[2 3 1 1 4],45,False,False,False,False,False,
29,1,2,1.0,"[2, 3, 1, 1, 4]",[64 68 29 24 49],[3 6 1 2 7],[1 3 0 1 3],87,False,False,False,False,False,
29,2,1,0.9,"[2, 3, 0, 2, 5]",[81 77 83 47 16],[3 6 1 2 7],[1 3 1 0 2],45,False,False,False,False,False,
29,2,2,0.9,"[1, 3, 1, 1, 3]",[64 68 29 24 49],[3 6 1 2 7],[2 3 0 1 4],87,False,False,False,False,True,
29,3,1,0.81,,[81 77 83 47 16],[3 6 1 2 7],,45,False,,False,,,"[1, 3, 1, 1, 3]"
30,1,1,1.0,"[2, 2, 3, 2, 1]",[42 33 25 72 50],[4 4 6 5 2],[2 2 3 3 1],761,False,False,False,False,False,
30,1,2,1.0,"[1, 1, 3, 1, 0]",[48 62 45 93 70],[4 4 6 5 2],[3 3 3 4 2],658,False,False,False,False,False,
30,2,1,0.9,"[2, 2, 4, 3, 1]",[42 33 25 72 50],[4 4 6 5 2],[2 2 2 2 1],761,False,False,False,False,False,
30,2,2,0.9,"[1, 2, 3, 2, 1]",[48 62 45 93 70],[4 4 6 5 2],[3 2 3 3 1],658,False,False,False,False,True,
30,3,1,0.81,,[42 33 25 72 50],[4 4 6 5 2],,761,True,,False,,,"[1, 2, 3, 2, 1]"
31,1,1,1.0,"[2, 1, 2, 4, 2]",[99 77 77 62 56],[4 2 4 8 4],[2 1 2 4 2],265,False,False,False,False,False,
31,1,2,1.0,"[2, 1, 3, 5, 1]",[61 61 47 49 92],[4 2 4 8 4],[2 1 1 3 3],494,False,False,False,False,False,
31,2,1,0.9,"[1, 1, 2, 3, 2]",[99 77 77 62 56],[4 2 4 8 4],[3 1 2 5 2],265,False,False,False,False,False,
31,2,2,0.9,"[2, 1, 2, 4, 1]",[61 61 47 49 92],[4 2 4 8 4],[2 1 2 4 3],494,False,False,False,False,False,
31,3,1,0.81,,[99 77 77 62 56],[4 2 4 8 4],,265,False,,False,,,"[2, 1, 2, 4, 1]"
32,1,1,1.0,"[3, 1, 0, 2, 4]",[ 5 61 96 39 16],[6 2 1 5 8],[3 1 1 3 4],584,False,False,False,False,False,
32,1,2,1.0,"[2, 1, 0, 3, 5]",[93 48 86 32 22],[6 2 1 5 8],[4 1 1 2 3],374,False,False,False,False,False,
32,2,1,0.9,"[3, 1, 0, 3, 3]",[ 5 61 96 39 16],[6 2 1 5 8],[3 1 1 2 5],584,False,False,False,False,False,
32,2,2,0.9,"[4, 1, 0, 2, 2]",[93 48 86 32 22],[6 2 1 5 8],[2 1 1 3 6],374,False,False,False,False,True,
32,3,1,0.81,,[ 5 61 96 39 16],[6 2 1 5 8],,584,False,,False,,,"[4, 1, 0, 2, 2]"
33,1,1,1.0,"[4, 1, 2, 2, 1]",[62 46 11 17 49],[8 2 3 4 2],[4 1 1 2 1],746,False,False,False,False,False,
33,1,2,1.0,"[3, 1, 1, 2, 1]",[23 36 99 68  2],[8 2 3 4 2],[5 1 2 2 1],698,False,True,False,False,False,
33,2,1,0.9,"[3, 0, 2, 3, 0]",[62 46 11 17 49],[8 2 3 4 2],[5 2 1 1 2],746,False,False,False,False,False,
33,2,2,0.9,"[5, 0, 1, 1, 2]",[23 36 99 68  2],[8 2 3 4 2],[3 2 2 3 0],698,False,True,False,False,False,
33,3,1,0.81,,[62 46 11 17 49],[8 2 3 4 2],,746,True,,False,,,"[5, 0, 1, 1, 2]"
34,1,1,1.0,"[2, 3, 2, 2, 5]",[63 84 16  3 30],[4 6 3 3 9],[2 3 1 1 4],340,False,False,False,False,False,
34,1,2,1.0,"[2, 3, 1, 1, 4]",[94 15 16 65 98],[4 6 3 3 9],[2 3 2 2 5],5,False,False,False,False,False,
34,2,1,0.9,"[1, 3, 2, 2, 5]",[63 84 16  3 30],[4 6 3 3 9],[3 3 1 1 4],340,False,False,False,False,False,
34,2,2,0.9,"[2, 4, 2, 1, 4]",[94 15 16 65 98],[4 6 3 3 9],[2 2 1 2 5],5,False,False,False,False,False,
34,3,1,0.81,,[63 84 16  3 30],[4 6 3 3 9],,340,False,,False,,,"[2, 4, 2, 1, 4]"
35,1,1,1.0,"[2, 1, 1, 4, 2]",[29  5 50 65 75],[4 2 2 8 5],[2 1 1 4 3],258,False,False,False,False,False,
35,1,2,1.0,"[1, 1, 2, 6, 1]",[31 22  6  3 55],[4 2 2 8 5],[3 1 0 2 4],660,False,True,False,False,False,
35,2,1,0.9,"[2, 1, 1, 4, 2]",[29  5 50 65 75],[4 2 2 8 5],[2 1 1 4 3],258,False,False,False,False,False,
35,2,2,0.9,"[1, 1, 2, 6, 1]",[31 22  6  3 55],[4 2 2 8 5],[3 1 0 2 4],660,False,True,False,False,False,
35,3,1,0.81,,[29  5 50 65 75],[4 2 2 8 5],,258,False,,True,,,"[1, 1, 2, 6, 1]"
36,1,1,1.0,"[0, 1, 2, 1, 3]",[15  4 17 20 46],[1 3 5 2 6],[1 2 3 1 3],636,False,False,False,False,False,
36,1,2,1.0,"[1, 1, 0, 0, 6]",[84 20 23 45  7],[1 3 5 2 6],[0 2 5 2 0],119,False,False,False,False,False,
36,2,1,0.9,"[0, 2, 2, 1, 3]",[15  4 17 20 46],[1 3 5 2 6],[1 1 3 1 3],636,False,False,False,False,False,
36,2,2,0.9,"[1, 2, 1, 0, 2]",[84 20 23 45  7],[1 3 5 2 6],[0 1 4 2 4],119,False,False,False,False,True,
36,3,1,0.81,,[15  4 17 20 46],[1 3 5 2 6],,636,True,,False,,,"[1, 2, 1, 0, 2]"
37,1,1,1.0,"[3, 3, 2, 2, 0]",[89 82 57 51 79],[6 6 3 3 0],[3 3 1 1 0],263,False,False,False,False,False,
37,1,2,1.0,"[1, 1, 1, 3, 0]",[77 75 82  9 29],[6 6 3 3 0],[5 5 2 0 0],164,False,False,False,False,False,
37,2,1,0.9,"[2, 2, 1, 2, 0]",[89 82 57 51 79],[6 6 3 3 0],[4 4 2 1 0],263,False,False,False,False,False,
37,2,2,0.9,"[2, 3, 1, 0, 0]",[77 75 82  9 29],[6 6 3 3 0],[4 3 2 3 0],164,False,False,False,False,False,
37,3,1,0.81,,[89 82 57 51 79],[6 6 3 3 0],,263,False,,False,,,"[2, 3, 1, 0, 0]"
38,1,1,1.0,"[2, 2, 2, 2, 2]",[78 64 53 85 95],[4 4 4 5 4],[2 2 2 3 2],878,False,False,False,False,False,
38,1,2,1.0,"[1, 3, 3, 1, 1]",[72 13 13 68 90],[4 4 4 5 4],[3 1 1 4 3],667,False,False,False,False,False,
38,2,1,0.9,"[2, 1, 1, 3, 2]",[78 64 53 85 95],[4 4 4 5 4],[2 3 3 2 2],878,False,False,False,False,False,
38,2,2,0.9,"[2, 3, 3, 2, 1]",[72 13 13 68 90],[4 4 4 5 4],[2 1 1 3 3],667,False,True,False,False,True,
38,3,1,0.81,,[78 64 53 85 95],[4 4 4 5 4],,878,False,,False,,,"[2, 3, 3, 2, 1]"
39,1,1,1.0,"[2, 1, 4, 2, 3]",[87 23 41 18 79],[4 2 8 4 6],[2 1 4 2 3],935,False,False,False,False,False,
39,1,2,1.0,"[1, 1, 3, 2, 4]",[82 39 46 57 32],[4 2 8 4 6],[3 1 5 2 2],189,False,False,False,False,False,
39,2,1,0.9,"[2, 1, 5, 2, 2]",[87 23 41 18 79],[4 2 8 4 6],[2 1 3 2 4],935,False,False,False,False,False,
